date,precipitation,temperature,humidity
2025-12-10 18:45:00,0.7,24.0,84
2025-12-10 19:00:00,0.7,23.9,85
2025-12-10 19:15:00,0.3,23.7,86
2025-12-10 19:30:00,0.3,23.5,86
2025-12-10 19:45:00,0.3,23.4,87
2025-12-10 20:00:00,0.3,23.2,87
2025-12-10 20:15:00,0.1,23.1,88
2025-12-10 20:30:00,0.1,23.0,89
2025-12-10 20:45:00,0.1,22.8,89
2025-12-10 21:00:00,0.1,22.6,90
2025-12-10 21:15:00,0.1,22.5,91
2025-12-10 21:30:00,0.1,22.4,91
2025-12-10 21:45:00,0.1,22.4,92
2025-12-10 22:00:00,0.1,22.2,92
2025-12-10 22:15:00,0.1,22.2,93
2025-12-10 22:30:00,0.1,22.1,93
2025-12-10 22:45:00,0.1,22.0,94
2025-12-10 23:00:00,0.1,22.0,94
2025-12-10 23:15:00,0.1,21.9,94
2025-12-10 23:30:00,0.1,21.9,95
2025-12-10 23:45:00,0.1,21.8,95
2025-12-11 00:00:00,0.1,21.8,95
2025-12-11 00:15:00,0.0,21.8,95
2025-12-11 00:30:00,0.0,21.7,95
2025-12-11 00:45:00,0.0,21.6,95
2025-12-11 01:00:00,0.0,21.6,95
2025-12-11 01:15:00,0.0,21.6,95
2025-12-11 01:30:00,0.0,21.6,95
2025-12-11 01:45:00,0.0,21.6,95
2025-12-11 02:00:00,0.0,21.5,95
2025-12-11 02:15:00,0.0,21.5,95
2025-12-11 02:30:00,0.0,21.5,96
2025-12-11 02:45:00,0.0,21.4,97
2025-12-11 03:00:00,0.0,21.4,97
2025-12-11 03:15:00,0.0,21.3,97
2025-12-11 03:30:00,0.0,21.2,98
2025-12-11 03:45:00,0.0,21.2,98
2025-12-11 04:00:00,0.0,21.1,98
2025-12-11 04:15:00,0.0,21.1,98
2025-12-11 04:30:00,0.0,21.1,99
2025-12-11 04:45:00,0.0,21.1,99
2025-12-11 05:00:00,0.0,21.1,99
2025-12-11 05:15:00,0.0,21.1,99
2025-12-11 05:30:00,0.0,21.1,99
2025-12-11 05:45:00,0.0,21.2,99
2025-12-11 06:00:00,0.0,21.2,99
2025-12-11 06:15:00,0.0,21.5,98
2025-12-11 06:30:00,0.0,21.6,97
2025-12-11 06:45:00,0.0,21.9,95
2025-12-11 07:00:00,0.0,22.2,93
2025-12-11 07:15:00,0.0,22.6,91
2025-12-11 07:30:00,0.0,23.0,89
2025-12-11 07:45:00,0.0,23.4,87
2025-12-11 08:00:00,0.0,23.8,85
